JLPT,Word,Reading,Meaning,Word Type
N5,飲み物,のみもの,"drink, beverage",Noun
N5,飲む,のむ,to drink,Godan verb with 'mu' ending
N5,乗る,のる,"to get on, to ride in, to board",Godan verb with 'ru' ending
N5,歯,は,tooth,Noun
N5,パーティー,パーティー,a party,Noun
N5,はい,はい,yes,Interjection
N5,～杯,～はい,counter for cupfuls,Counter
N5,灰皿,はいざら,ashtray,Noun
N5,入る,はいる,"to enter, to contain, to hold",Godan verb with 'ru' ending
N5,葉書,はがき,postcard,Noun
N5,はく,はく,to put on (items below your waist),Godan verb with 'ku' ending
N5,箱,はこ,box,Noun
N5,橋,はし,bridge,Noun
N5,箸,はし,chopsticks,Noun
N5,始まる,はじまる,(something) begins,Godan verb with 'ru' ending
N5,初め; 始め,はじめ,"beginning, start",Noun
N5,初めて,はじめて,for the first time,Adverb (fukushi)
N5,走る,はしる,to run,Godan verb with 'ru' ending
N5,バス,バス,bus; bath; bass,Noun
N5,バター,バター,butter,Noun
N5,二十歳,はたち,20 years old,Noun
N5,働く,はたらく,to work,Godan verb with 'ku' ending
N5,八,はち,eight,Numeric
N5,二十日,はつか,"twenty days, twentieth (day of the month)",Noun
N5,花,はな,flower,Noun
N5,鼻,はな,nose,Noun
N5,話,はなし,"talk (chat), story",Noun
N5,話す,はなす,to speak,Godan verb with 'su' ending
N5,母,はは,(my) mother,Noun
N5,早い,はやい,early,I-adjective (keiyoushi)
